DateTime,Load (kW)
3/11/2017 10:00,2.524
3/11/2017 11:00,2.54175
3/11/2017 12:00,0.80975
3/11/2017 13:00,0.92325
3/11/2017 14:00,0.999
3/11/2017 15:00,1.16475
3/11/2017 16:00,1.4825
3/11/2017 17:00,1.08625
3/11/2017 18:00,1.10725
3/11/2017 19:00,0.729
3/11/2017 20:00,0.86825
3/11/2017 21:00,0.98775
3/11/2017 22:00,0.86125
3/11/2017 23:00,0.6215
3/12/2017 0:00,0.4485
3/12/2017 1:00,0.56475
3/12/2017 2:00,0.51625
3/12/2017 3:00,0.46725
3/12/2017 4:00,0.489
3/12/2017 5:00,0.45425
3/12/2017 6:00,0.552
3/12/2017 7:00,0.9245
3/12/2017 8:00,1.11125
3/12/2017 9:00,3.4675
3/12/2017 10:00,3.6265
3/12/2017 11:00,4.84125
3/12/2017 12:00,3.38575
3/12/2017 13:00,3.37875
3/12/2017 14:00,2.746
3/12/2017 15:00,3.776
3/12/2017 16:00,3.049
3/12/2017 17:00,1.4735
3/12/2017 18:00,1.38825
3/12/2017 19:00,0.8925
3/12/2017 20:00,1.43375
3/12/2017 21:00,2.6795
3/12/2017 22:00,0.5425
3/12/2017 23:00,0.464
3/13/2017 0:00,0.7615
3/13/2017 1:00,0.4735
3/13/2017 2:00,1.317
3/13/2017 3:00,0.93175
3/13/2017 4:00,1.14075
3/13/2017 5:00,1.20175
3/13/2017 6:00,2.1815
3/13/2017 7:00,3.17225
3/13/2017 8:00,5.55725
3/13/2017 9:00,3.448
3/13/2017 10:00,6.34625
3/13/2017 11:00,3.9985
3/13/2017 12:00,1.45675
3/13/2017 13:00,1.518
3/13/2017 14:00,1.08625
3/13/2017 15:00,2.1995
3/13/2017 16:00,0.95675
3/13/2017 17:00,1.258
3/13/2017 18:00,0.8405
3/13/2017 19:00,0.704
3/13/2017 20:00,0.78
3/13/2017 21:00,0.5425
3/13/2017 22:00,0.46
3/13/2017 23:00,0.44325
3/14/2017 0:00,0.449
3/14/2017 1:00,0.4375
3/14/2017 2:00,0.47975
3/14/2017 3:00,0.42875
3/14/2017 4:00,0.74625
3/14/2017 5:00,0.72375
3/14/2017 6:00,1.72675
3/14/2017 7:00,2.16525
3/14/2017 8:00,2.60825
3/14/2017 9:00,3.359
3/14/2017 10:00,3.9345
3/14/2017 11:00,2.79925
3/14/2017 12:00,0.916
3/14/2017 13:00,1.225
3/14/2017 14:00,2.905
3/14/2017 15:00,1.94525
3/14/2017 16:00,1.50825
3/14/2017 17:00,1.03275
3/14/2017 18:00,0.94525
3/14/2017 19:00,0.78575
3/14/2017 20:00,0.79975
3/14/2017 21:00,0.71375
3/14/2017 22:00,0.4565
3/14/2017 23:00,0.6085
3/15/2017 0:00,0.4715
3/15/2017 1:00,0.501
3/15/2017 2:00,0.44325
3/15/2017 3:00,0.46
3/15/2017 4:00,0.55175
3/15/2017 5:00,0.67825
3/15/2017 6:00,1.10075
3/15/2017 7:00,2.07225
3/15/2017 8:00,3.8895
3/15/2017 9:00,3.24025
3/15/2017 10:00,3.9135
3/15/2017 11:00,3.5505
3/15/2017 12:00,1.0075
3/15/2017 13:00,1.0885
3/15/2017 14:00,2.51775
3/15/2017 15:00,1.10375
3/15/2017 16:00,1.22625
3/15/2017 17:00,1.3455
3/15/2017 18:00,1.00025
3/15/2017 19:00,0.851
3/15/2017 20:00,0.77725
3/15/2017 21:00,0.569
3/15/2017 22:00,0.52675
3/15/2017 23:00,0.45975
3/16/2017 0:00,0.4595
3/16/2017 1:00,0.448
3/16/2017 2:00,0.442
3/16/2017 3:00,0.472
3/16/2017 4:00,0.495
3/16/2017 5:00,0.493
3/16/2017 6:00,0.7925
3/16/2017 7:00,1.5935
3/16/2017 8:00,1.709
3/16/2017 9:00,1.71925
3/16/2017 10:00,2.9655
3/16/2017 11:00,2.57025
3/16/2017 12:00,0.9285
3/16/2017 13:00,1.7045
3/16/2017 14:00,3.56225
3/16/2017 15:00,0.73825
3/16/2017 16:00,0.72925
3/16/2017 17:00,0.68675
3/16/2017 18:00,0.6465
3/16/2017 19:00,0.51775
3/16/2017 20:00,0.5135
3/16/2017 21:00,0.53375
3/16/2017 22:00,0.6205
3/16/2017 23:00,0.643
3/17/2017 0:00,0.533
3/17/2017 1:00,0.52475
3/17/2017 2:00,0.53075
3/17/2017 3:00,0.49425
3/17/2017 4:00,0.5465
3/17/2017 5:00,0.49575
3/17/2017 6:00,0.62175
3/17/2017 7:00,0.681
3/17/2017 8:00,0.6785
3/17/2017 9:00,0.686
3/17/2017 10:00,1.51975
3/17/2017 11:00,1.677
3/17/2017 12:00,0.675
3/17/2017 13:00,0.71175
3/17/2017 14:00,0.684
3/17/2017 15:00,0.68975
3/17/2017 16:00,0.7985
3/17/2017 17:00,0.6745
3/17/2017 18:00,0.668
3/17/2017 19:00,0.49875
3/17/2017 20:00,0.546
3/17/2017 21:00,0.50125
3/17/2017 22:00,0.50875
3/17/2017 23:00,0.52875
3/18/2017 0:00,0.5065
3/18/2017 1:00,0.54925
3/18/2017 2:00,0.50675
3/18/2017 3:00,0.538
3/18/2017 4:00,0.50525
3/18/2017 5:00,0.50625
3/18/2017 6:00,0.589
3/18/2017 7:00,0.69175
3/18/2017 8:00,0.70425
3/18/2017 9:00,0.683
3/18/2017 10:00,1.45975
3/18/2017 11:00,1.58625
3/18/2017 12:00,0.65575
3/18/2017 13:00,0.6855
3/18/2017 14:00,0.6285
3/18/2017 15:00,0.66
3/18/2017 16:00,0.625
3/18/2017 17:00,1.85875
3/18/2017 18:00,3.12825
3/18/2017 19:00,1.20875
3/18/2017 20:00,0.728
3/18/2017 21:00,0.4765
3/18/2017 22:00,0.47625
3/18/2017 23:00,0.41775
3/19/2017 0:00,0.47075
3/19/2017 1:00,0.507
3/19/2017 2:00,0.48275
3/19/2017 3:00,0.45275
3/19/2017 4:00,0.4325
3/19/2017 5:00,0.47
3/19/2017 6:00,0.7435
3/19/2017 7:00,1.0285
